mmsi,x,y,cog,sog,time,colreg_compliant,distance_risk_of_collision,distance_risk_of_collision_front,good_seamanship,unmodeled_behaviour,has_turned_portwards,has_turned_starboardwards,stands_on_correct,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher,is_risk_of_collision,situation_started,will_give_way,is_pre_ample_time,safe_distance,safe_distance_to_midpoint,gives_way_correct,stand_on_role,change_in_course_port,change_in_course_starboard,change_in_speed_lower,change_in_speed_higher,mean_initial_course,max_initial_course,mean_initial_speed,max_initial_speed,
258217000,18849.4,6111.89,4.57974,5.4,1260,0.978213,0,0,0.986198,6.09486e-05,0.00536495,0.000467768,0.994635,0.0567072,0.0636633,0.0580328,0.758527,0.0630701,0.0504813,0.900851,0.048668,1,0.6952,0,1,1,1,0.878304,0.784217,0.00536495,0,-0.000260445,-0,-89.9454,-90,5.76438,5.76,
258265000,20778.1,10108.9,4.56229,6.6,1260,0.980278,0,0,0.934229,7.51802e-05,0.0119779,0.546577,0.610588,0.0385128,0.04567,0.0463888,0.0491017,0.820327,0.0538603,0.915312,0.0308277,1,0.774085,0,1,1,1,1,0.106089,0,0.389412,-0,-0,-98.9848,-100,7.17912,7.2,
258217000,18838,5948.97,4.70192,5.3,1320,0.979155,0,0,0.986294,6.57682e-05,0.00615349,0.000912895,0.993179,0.0474605,0.0510154,0.0451888,0.802038,0.054297,0.0535718,0.873208,0.0732201,1,0.748405,0,1,1,1,0.954811,0.810205,0.00615349,0.000667331,-0.000187225,-0,-89.9138,-90,5.76463,5.76,
258265000,20748,9915.3,4.55182,6.4,1320,0.978338,0,0,0.845861,0.00017278,0.0275638,0.146931,0.85955,0.0868211,0.0892789,0.0927304,0.0863159,0.644854,0.0500449,0.909658,0.0402968,1,0.555273,0,1,1,1,0.910721,0.19837,0,0.14045,-0,-0,-97.4228,-90,6.85856,7.2,
258217000,18837.8,5781.43,4.72286,5.5,1380,0.965217,0,0,0.985081,0.000128153,0.00605547,0.0449685,0.951246,0.0382121,0.044598,0.0394823,0.837661,0.0400461,0.0767751,0.872885,0.0503397,1,0.796275,0,1,1,1,0.960518,0.811813,0.00376682,0.0449685,-0.000276468,-0,-87.8581,-90,5.76481,5.76,
258265000,20705.4,9720.25,4.55705,6.4,1380,0.977873,0,0,0.846184,0.000177485,0.0278104,0.145349,0.860466,0.0456601,0.0428844,0.0444927,0.0477038,0.819259,0.0522827,0.906035,0.0416824,1,0.774428,0,1,1,1,0.957116,0.121839,0,0.139534,-0,-0,-97.36,-90,7.01587,7.2,
258217000,18840,5615.59,4.74904,5.3,1440,0.963458,0,0,0.981757,0.0001229,0.0107272,0.0477468,0.944985,0.0451689,0.0395597,0.0401583,0.835088,0.0400248,0.0834249,0.869211,0.0473636,1,0.796074,0,1,1,1,0.959842,0.808174,0.00710035,0.0477468,-0.000977057,-0,-87.7605,-90,5.76953,5.76,
258265000,20671.5,9531.33,4.57451,6.3,1440,0.977529,0,0,0.852181,0.000144821,0.0255266,0.140995,0.865355,0.0500031,0.043433,0.0443087,0.0465197,0.815736,0.049968,0.907313,0.0427191,1,0.77331,0,1,1,1,0.956567,0.128547,0,0.134645,-0,-0,-97.1615,-90,7.01652,7.2,
258217000,18859.6,5453.22,4.84329,5.3,1500,0.938742,0,0,0.980682,9.2066e-05,0.011719,0.121549,0.911296,0.0359566,0.044962,0.0443277,0.829381,0.0453729,0.141867,0.826391,0.0317412,1,0.788835,0,1,1,1,0.955672,0.738419,0.00583282,0.0827471,-0.000309529,-0,-86.5594,-90,5.76963,5.76,
258265000,20648.8,9330.84,4.65654,6.5,1500,0.982393,0,0,0.828162,0.000159388,0.0318836,0.163771,0.843142,0.0278895,0.0292113,0.0296055,0.0281227,0.885171,0.0537462,0.912935,0.0333191,1,0.85422,0,1,1,1,0.970789,0.0809728,0,0.156858,-0,-0,-97.2304,-90,7.10675,7.2,
258217000,18881.6,5292.63,4.79791,5.5,1560,0.931285,0,0,0.974804,8.8443e-05,0.0192914,0.173726,0.882483,0.0296654,0.0368892,0.0301461,0.865647,0.0376523,0.181099,0.772958,0.0459425,1,0.829568,0,1,1,1,0.969854,0.727978,0.0117375,0.105638,-0.000307144,-0,-85.7101,-90,5.77639,5.76,
258265000,20637.2,9130.91,4.61989,6.1,1560,0.979468,0,0,0.823781,0.000194875,0.0309505,0.167873,0.839789,0.0199089,0.027359,0.0293657,0.0276661,0.8957,0.0477753,0.918266,0.0339585,1,0.873674,0,1,1,1,0.972641,0.0800103,0,0.160211,-0,-0,-96.8092,-90,7.02152,7.2,
258217000,18892.5,5119.27,4.81013,5.7,1620,0.924477,0,0,0.977434,0.000358591,0.0202425,0.190109,0.879073,0.0304257,0.0139048,0.0072684,0.936119,0.0122825,0.193253,0.786576,0.0201711,0.964259,0.913956,0,1,1,1,0.992732,0.77608,0.0107577,0.110112,-0.00300315,-0,-84.5667,-80,5.77657,5.76,
258265000,20614.5,8948.99,4.62687,6.1,1620,0.980954,0,0,0.822311,0.000186424,0.0302354,0.169647,0.838097,0.00605095,0.00967453,0.00691837,0.00399428,0.973362,0.0516807,0.908829,0.0394901,0.988704,0.965649,0,1,1,1,0.990325,0.0480646,0,0.161903,-0,-0,-96.8383,-90,7.08351,7.2,
258217000,18914.6,4951.93,4.84852,5.6,1680,0.918268,0,0,0.970991,0.000381722,0.0202998,0.202473,0.871142,0.00352049,0.0155106,0.0197614,0.949129,0.012079,0.214974,0.763807,0.0212189,0.977173,0.941145,0,1,1,1,0.980239,0.741856,0.00642912,0.121828,-0.00220113,-0,-85.7473,-90,5.77593,5.76,
258265000,20591.8,8749.98,4.61116,6.1,1680,0.979344,0,0,0.819698,0.000205269,0.0319204,0.172061,0.835768,0.0059662,0.0105868,0.00744631,0.0146703,0.96133,0.0525823,0.906076,0.0413417,0.985308,0.953287,0,1,1,1,0.989413,0.0597732,0,0.164232,-0,-0,-96.9998,-90,7.07497,7.2,
258217000,18936.7,4784.41,4.80489,5.5,1740,0.912937,0,0,0.978725,0.000279864,0.0170855,0.238895,0.862571,0.00011822,0.0116613,0.00787909,0.974608,0.00573364,0.221891,0.721219,0.0568903,1,0.969438,0,1,1,1,0.992121,0.75619,0.0104043,0.126431,-0.000684214,-0,-84.1691,-80,5.77307,5.76,
258265000,20580.2,8561.94,4.63734,6.1,1740,0.980715,0,0,0.822746,0.000223802,0.0299641,0.169497,0.838696,0.0157536,0.00670899,0.00443679,0.00746133,0.965639,0.0530766,0.903598,0.0433253,1,0.96075,0,1,1,1,0.993291,0.0586638,0,0.161304,-0,-0,-96.6041,-90,7.06438,7.2,
258217000,18947.6,4616.92,4.81536,5.4,1800,0.90438,0,0,0.963424,0.000230998,0.0190812,0.255979,0.858615,7.13308e-05,0.00118985,0.00761577,0.98309,0.00803321,0.233256,0.718794,0.0479502,1,0.97894,0,1,1,1,0.992384,0.751098,0.0033953,0.137583,-0.000574558,-0,-84.6513,-80,5.77688,5.76,
258265000,20557.6,8380.96,4.64258,6,1800,0.98018,0,0,0.811233,0.000240524,0.0338748,0.180573,0.828172,0.00603691,0.00401244,0.006214,0.00310442,0.980632,0.0514333,0.911095,0.0374713,1,0.977405,0,1,1,1,0.995988,0.0466126,0,0.171828,-0,-0,-96.894,-90,7.0753,7.2,
258217000,18969.7,4475.21,4.83107,4.7,1860,0.892275,0,0,0.973107,0.000634079,0.0230642,0.277832,0.852678,8.47345e-05,0.0203117,0.00384759,0.972158,0.00359765,0.243882,0.698541,0.0575772,1,0.962217,0,1,1,1,0.996152,0.729555,0.00817854,0.127375,-0.0145891,-0,-84.0065,-80,5.75011,5.76,
258265000,20534.9,8190.16,4.60767,5.8,1860,0.981872,0,0,0.812661,0.000197314,0.0332309,0.179571,0.829419,0.00201516,0.00640683,0.00262565,0.00487856,0.984074,0.0518329,0.904345,0.0438222,1,0.980647,0,1,1,1,0.993593,0.0487909,0,0.170581,-0,-0,-96.8462,-90,7.07383,7.2,
258217000,18991.8,4315.75,4.8398,5.3,1920,0.884454,0,0,0.959677,0.000299536,0.0380048,0.287284,0.837149,0.00255366,0.00836861,0.00305459,0.976562,0.00946136,0.261627,0.701994,0.0363793,0.98981,0.976343,0,1,1,1,0.996945,0.724057,0.0197949,0.138995,-0.00437052,-0,-83.99,-80,5.78923,5.76,
258265000,20523.4,8016.02,4.62512,5.7,1920,0.978057,0,0,0.811023,0.000238261,0.0313776,0.181023,0.54815,0.00286529,0.00208476,0.00256999,0.00181695,0.990663,0.0525423,0.924824,0.0226333,0.997101,0.987221,0,1,1,1,0.997915,0.0273156,0,0.172044,-0.337837,-0,-96.9254,-90,7.06477,7.2,
258217000,19005.6,4159.38,4.82409,5.2,1980,0.876041,0,0,0.906742,0.000119714,0.056192,0.346214,0.80983,0,0.00481225,0.00516427,0.989701,0.000322308,0.336754,0.656576,0.00666986,1,0.990215,0,1,1,1,0.994836,0.653764,0.0265891,0.153887,-0.0101266,-0,-83.0558,-80,5.80842,5.76,
258265000,20488,7824.36,4.47851,6.2,1980,0.978443,0,0,0.80888,0.000222834,0.43243,0.182773,0.44154,0,0.00130232,0.000461515,0,0.998236,0.0532627,0.930245,0.0164921,0.999968,0.997402,0,1,1,1,0.998698,0.0164921,0.398477,0.159984,-0,-0,-96.9281,-90,7.06943,7.2,
